TargetID,Heritability_Score,Chromosome
ENSG00000011132,0.057843,19
ENSG00000011143,0.000532,17
ENSG00000011198,-0.020183,3
ENSG00000011258,0.324352,17
ENSG00000011260,0.000975,17
ENSG00000011275,0.167052,7
ENSG00000011295,0.218957,17
ENSG00000011304,-0.027773,19
ENSG00000011332,-0.071894,19
ENSG00000011376,0.477326,3
ENSG00000011405,-0.074418,11
ENSG00000011422,0.100603,19
ENSG00000011426,0.183888,7
ENSG00000011451,0.050627,19
ENSG00000011454,0.190417,9
ENSG00000011478,0.246538,19
ENSG00000011485,0.029274,19
ENSG00000011523,0.060049,2
ENSG00000011566,-0.017591,2
ENSG00000011590,0.03448,19
ENSG00000011600,0.014075,19
ENSG00000011638,0.221418,16
ENSG00000012048,0.108235,17
ENSG00000012061,-0.057567,19
ENSG00000012124,0.033061,19
ENSG00000012223,0.070135,3
ENSG00000012232,-0.011415,8
ENSG00000012660,9.7e-05,6
ENSG00000012779,0.038805,10
ENSG00000012822,0.172748,12
ENSG00000012963,0.165674,14
ENSG00000012983,0.13958,14
ENSG00000013016,0.059808,2
ENSG00000013288,0.676673,4
ENSG00000013297,-0.046438,3
ENSG00000013306,0.060878,17
ENSG00000013364,0.067639,16
ENSG00000013374,0.206859,7
ENSG00000013375,-0.026722,6
ENSG00000013392,0.202131,6
ENSG00000013441,-0.036988,2
ENSG00000013503,0.125062,12
ENSG00000013523,0.12996,14
ENSG00000013561,0.509634,5
ENSG00000013573,0.460837,12
ENSG00000013583,0.262412,12
ENSG00000013588,0.00304,12
ENSG00000013725,0.057398,11
ENSG00000013810,0.017047,4
ENSG00000014123,0.097032,6
ENSG00000014138,0.221742,11
ENSG00000014164,0.44491,8
ENSG00000014216,0.065793,11
ENSG00000014257,-0.016466,3
ENSG00000014641,0.037477,2
ENSG00000014824,0.093985,4
ENSG00000014914,0.092494,1
ENSG00000014919,0.038713,10
ENSG00000015133,0.043741,14
ENSG00000015153,-0.024681,12
ENSG00000015171,-0.005653,10
ENSG00000015475,-0.096437,22
ENSG00000015479,0.039206,5
ENSG00000015520,0.082892,7
ENSG00000015532,0.129088,17
ENSG00000015592,-0.078142,8
ENSG00000015676,0.3046,7
ENSG00000016391,-0.077757,3
ENSG00000016864,0.087856,3
ENSG00000017260,-0.038697,3
ENSG00000017427,0.071687,12
ENSG00000017797,0.029999,18
ENSG00000018189,-0.003622,4
ENSG00000018280,-0.038086,2
ENSG00000018408,-0.104158,3
ENSG00000018510,0.113305,2
ENSG00000018699,0.558759,2
ENSG00000018869,0.02866,19
ENSG00000019102,-0.098256,11
ENSG00000019169,-0.027356,2
ENSG00000019485,-0.016529,11
ENSG00000019582,-0.022685,5
ENSG00000019991,0.142448,7
ENSG00000019995,0.052328,10
ENSG00000020256,0.008604,20
ENSG00000020426,0.031509,14
ENSG00000020577,0.127475,14
ENSG00000020633,-0.070567,1
ENSG00000020922,0.319872,11
ENSG00000021300,-0.031615,11
ENSG00000021355,0.298443,6
ENSG00000021574,0.063137,2
ENSG00000021645,-0.057555,14
ENSG00000021776,0.144875,15
ENSG00000021826,0.02051,2
ENSG00000022277,-0.091825,20
ENSG00000022556,0.279614,19
ENSG00000022567,0.290384,8
ENSG00000022840,0.00952,12
ENSG00000022976,0.01533,14
ENSG00000023041,-0.096202,10
ENSG00000023171,-0.046948,11
ENSG00000023191,-0.023788,11
ENSG00000023228,0.398499,2
ENSG00000023287,0.079371,8
ENSG00000023318,-0.006589,9
ENSG00000023330,0.054983,3
ENSG00000023445,0.030526,11
ENSG00000023516,-0.04479,13
ENSG00000023572,0.042787,1
ENSG00000023608,0.23223,14
ENSG00000023697,0.479018,12
ENSG00000023734,0.097183,12
ENSG00000023839,0.072258,10
ENSG00000023892,0.23422,6
ENSG00000023902,0.187656,1
ENSG00000023909,0.01976,1
ENSG00000024048,0.077703,6
ENSG00000024422,-0.107807,19
ENSG00000024526,0.108533,1
ENSG00000024862,-0.096118,6
ENSG00000025039,-0.001337,6
ENSG00000025156,0.374362,6
ENSG00000025293,0.03933,20
ENSG00000025423,0.024982,12
ENSG00000025434,0.177116,11
ENSG00000025708,0.143225,22
ENSG00000025770,0.002441,22
ENSG00000025772,0.034462,20
ENSG00000025796,0.008463,6
ENSG00000025800,0.271241,1
ENSG00000026025,0.016993,10
ENSG00000026297,0.081845,6
ENSG00000026508,0.001099,11
ENSG00000026751,0.071777,1
ENSG00000026950,0.280063,6
ENSG00000027001,0.225484,13
ENSG00000027075,0.147488,14
ENSG00000027697,-0.079182,6
ENSG00000027847,0.141181,5
ENSG00000027869,-0.002,1
ENSG00000028116,0.106549,2
ENSG00000028137,-0.023573,1
ENSG00000028203,0.018587,12
ENSG00000028277,-0.026058,19
ENSG00000028310,0.095466,5
ENSG00000028528,0.31783,15
ENSG00000028839,0.007393,6
ENSG00000029153,-0.044383,12
ENSG00000029363,0.099657,6
ENSG00000029364,0.105694,14
ENSG00000029534,0.106444,8
ENSG00000029639,0.191418,6
ENSG00000030066,0.096141,11
ENSG00000030110,0.678441,6
ENSG00000030419,-0.040156,2
ENSG00000030582,0.014115,17
ENSG00000031003,0.050301,5
ENSG00000031081,0.043828,3
ENSG00000031691,0.505012,6
ENSG00000031698,0.011227,1
ENSG00000032219,-0.082284,14
ENSG00000032389,0.033091,2
ENSG00000032444,0.104257,19
ENSG00000032742,0.364134,13
ENSG00000033011,-0.057456,16
ENSG00000033030,0.058778,12
ENSG00000033100,0.071042,7
ENSG00000033170,0.077678,14
ENSG00000033178,0.434342,4
ENSG00000033327,0.098581,11
ENSG00000033627,-0.01851,17
ENSG00000033800,0.049366,15
ENSG00000033867,-0.005598,3
ENSG00000034152,0.005572,17
ENSG00000034510,-0.045745,2
ENSG00000034533,0.122682,3
ENSG00000034677,0.171316,8
ENSG00000034693,-0.065112,6
ENSG00000034713,0.038664,16
ENSG00000035115,0.251911,2
ENSG00000035141,0.374865,2
ENSG00000035403,-0.058048,10
ENSG00000035499,0.237559,5
ENSG00000035664,0.071409,15
ENSG00000035681,0.177537,8
ENSG00000035687,0.21399,1
ENSG00000035720,0.07703,4
ENSG00000035862,0.076828,17
ENSG00000035928,0.232463,4
ENSG00000036054,0.126108,3
ENSG00000036257,-0.007257,2
ENSG00000036549,0.099468,1
ENSG00000036672,-0.083685,11
ENSG00000036828,-0.015441,3
ENSG00000037042,0.285982,17
ENSG00000037241,0.088854,5
ENSG00000037280,-0.102467,5
ENSG00000037474,0.300039,5
ENSG00000037637,-0.053194,1
ENSG00000037749,-0.026091,5
ENSG00000037757,0.190944,19
ENSG00000037897,0.01222,12
ENSG00000038002,0.383593,4
ENSG00000038210,-0.039084,4
ENSG00000038219,0.120336,4
ENSG00000038274,-0.083637,5
ENSG00000038358,0.091831,16
ENSG00000038382,0.110655,5
ENSG00000038427,0.096225,5
ENSG00000039068,0.082567,16
ENSG00000039123,0.215063,5
ENSG00000039319,-0.05562,5
ENSG00000039523,-0.042535,16
ENSG00000039560,0.053632,5
ENSG00000039600,0.001305,5
ENSG00000039650,0.091159,19
ENSG00000039987,0.135379,19
ENSG00000040199,0.162494,16
ENSG00000040275,0.086794,5
ENSG00000040341,0.027122,8
ENSG00000040487,0.076329,1
ENSG00000040531,0.126806,17
ENSG00000040608,-0.100808,22
ENSG00000040633,-0.034247,17
ENSG00000040933,0.013833,2
ENSG00000041357,0.188058,15
ENSG00000041802,0.60411,3
ENSG00000041880,-0.004254,3
ENSG00000041982,0.080424,9
ENSG00000041988,0.066667,1
