"","GeneID","Chromosome","CausalVariance"
"131","ENSG00000171608",1,"0.278241013007719"
"132","ENSG00000171603",1,"0.274158858131804"
"133","ENSG00000178585",1,"0"
"134","ENSG00000162441",1,"0"
"135","ENSG00000173614",1,"0"
"136","ENSG00000162444",1,"0"
"137","ENSG00000130939",1,"0.253103243420248"
"138","ENSG00000054523",1,"0.0611888424002201"
"139","ENSG00000142657",1,"0.169237023251447"
"140","ENSG00000241563",1,"0.0424562846020626"
"141","ENSG00000160049",1,"0.164042374831716"
"142","ENSG00000142655",1,"0.214576511447778"
"143","ENSG00000130940",1,"0.0796188641685358"
"144","ENSG00000175262",1,"0"
"145","ENSG00000120948",1,"0"
"146","ENSG00000009724",1,"0"
"147","ENSG00000116649",1,"0"
"148","ENSG00000171824",1,"0"
"149","ENSG00000198793",1,"0"
"150","ENSG00000225602",NA,NA
"151","ENSG00000171819",NA,NA
"152","ENSG00000120942",1,"0"
"153","ENSG00000204624",1,"0"
"154","ENSG00000116661",1,"0"
"155","ENSG00000132879",1,"0"
"156","ENSG00000116663",1,"0"
"157","ENSG00000116670",1,"0"
"158","ENSG00000162490",1,"0"
"159","ENSG00000177674",1,"0"
"160","ENSG00000215910",1,"0"
"161","ENSG00000177000",1,"0"
"162","ENSG00000011021",1,"0"
"163","ENSG00000242349",1,"0"
"164","ENSG00000175206",1,"0"
"165","ENSG00000120937",NA,NA
"166","ENSG00000199347",NA,NA
"167","ENSG00000116685",1,"0"
"168","ENSG00000083444",1,"0"
"169","ENSG00000116688",1,"0"
"170","ENSG00000116691",1,"0"
"171","ENSG00000120949",1,"0"
"172","ENSG00000028137",1,"0"
"173","ENSG00000263676",NA,NA
"174","ENSG00000162496",1,"0"
"175","ENSG00000204518",NA,NA
"176","ENSG00000188984",NA,NA
"177","ENSG00000116726",NA,NA
"178","ENSG00000179172",1,"0.00605847216348128"
"179","ENSG00000120952",NA,NA
"180","ENSG00000243073",NA,NA
"181","ENSG00000162494",NA,NA
"182","ENSG00000162493",NA,NA
"183","ENSG00000116731",1,"0.291352430485223"
"184","ENSG00000189337",1,"0"
"185","ENSG00000175147",1,"0"
"186","ENSG00000171729",1,"0"
"187","ENSG00000204464",NA,NA
"188","ENSG00000142621",1,"0"
"189","ENSG00000142634",1,"0"
"190","ENSG00000162438",NA,NA
"191","ENSG00000142615",NA,NA
"192","ENSG00000215704",NA,NA
"193","ENSG00000132906",1,"0"
"194","ENSG00000116138",1,"0"
"195","ENSG00000116771",1,"0"
"196","ENSG00000197312",1,"0"
"197","ENSG00000116786",1,"0"
"198","ENSG00000162461",1,"0"
"199","ENSG00000162460",NA,NA
"200","ENSG00000162458",NA,NA
"201","ENSG00000233954",1,"0"
"202","ENSG00000179743",1,"0.00235409360428394"
"203","ENSG00000065526",1,"0.0024285792692847"
"204","ENSG00000116809",1,"0.00241298137455261"
"205","ENSG00000183888",1,"0.00277354385458544"
"206","ENSG00000173641",1,"0.0028302331645311"
"207","ENSG00000186510",1,"0.00280023029591419"
"208","ENSG00000184908",1,"0.00322879021900113"
"209","ENSG00000185519",1,"0.0102247865090612"
"210","ENSG00000142627",1,"0.228389306949082"
"211","ENSG00000142632",1,"0.239050119354962"
"212","ENSG00000132881",1,"0.243302198492399"
"213","ENSG00000037637",1,"0.229389908842151"
"214","ENSG00000055070",1,"0.258785993909429"
"215","ENSG00000187144",1,"0.268783632351263"
"216","ENSG00000157191",1,"0.277952097740802"
"217","ENSG00000080947",1,"0.280337613946614"
"218","ENSG00000219481",1,"0.312416543340581"
"219","ENSG00000215908",1,"0.340334369734812"
"220","ENSG00000186301",1,"0.352383547686662"
"221","ENSG00000268869",NA,NA
"222","ENSG00000058453",1,"0.0117121546055332"
"223","ENSG00000186715",1,"0.392631080969751"
"224","ENSG00000117122",NA,NA
"225","ENSG00000159363",1,"0"
"226","ENSG00000117118",1,"0"
"227","ENSG00000117115",1,"0"
"228","ENSG00000142623",1,"0"
"229","ENSG00000142619",NA,NA
"230","ENSG00000159339",1,"0"
"231","ENSG00000179051",1,"0"
"232","ENSG00000074964",1,"0"
"233","ENSG00000117148",NA,NA
"234","ENSG00000117154",NA,NA
"235","ENSG00000179023",1,"0"
"236","ENSG00000009709",NA,NA
"237","ENSG00000179002",NA,NA
"238","ENSG00000159423",1,"0"
"239","ENSG00000265606",NA,NA
"240","ENSG00000169991",1,"0"
"241","ENSG00000127481",1,"0.0066662108367165"
"242","ENSG00000127463",1,"0.0103663569476452"
"243","ENSG00000053372",1,"0.0126942550186092"
"244","ENSG00000211454",1,"0.0171122747534649"
"245","ENSG00000162482",1,"0.0179049870530125"
"246","ENSG00000053371",1,"0.0241532553890244"
"247","ENSG00000040487",1,"0.0240213702821908"
"248","ENSG00000077549",1,"0.02358594150548"
"249","ENSG00000173436",1,"0.221504877548814"
"250","ENSG00000270136",NA,NA
"251","ENSG00000158747",1,"0.226899935922084"
"252","ENSG00000158748",1,"0.235356194310944"
"253","ENSG00000162542",1,"0.216806035826915"
"254","ENSG00000178828",NA,NA
"255","ENSG00000169914",1,"0.217208461106882"
"256","ENSG00000188784",NA,NA
"257","ENSG00000188257",NA,NA
"258","ENSG00000127472",1,"0.213121692937215"
"259","ENSG00000117215",1,"0.217818464701417"
"260","ENSG00000158786",1,"0"
"261","ENSG00000187980",NA,NA
"262","ENSG00000225986",NA,NA
"263","ENSG00000162543",1,"0"
"264","ENSG00000158816",NA,NA
"265","ENSG00000236963",NA,NA
"266","ENSG00000162545",1,"0.202102523790757"
"267","ENSG00000090432",1,"0.199511064477116"
"268","ENSG00000183114",NA,NA
"269","ENSG00000158825",1,"0.198701048719921"
"270","ENSG00000158828",1,"0.202098800726932"
"271","ENSG00000244038",1,"0.209361847891369"
"272","ENSG00000117245",1,"0.204449978788046"
"273","ENSG00000189410",1,"0.203415822501057"
"274","ENSG00000127483",1,"0.202196816604484"
"275","ENSG00000075151",1,"0.180576689314302"
"276","ENSG00000221808",NA,NA
"277","ENSG00000117298",1,"0.236709684475418"
"278","ENSG00000142794",1,"0.0253470211205107"
"279","ENSG00000162551",1,"0.239778548204667"
"280","ENSG00000076864",1,"0.249570245267126"
"281","ENSG00000090686",1,"0.234157967287646"
"282","ENSG00000187942",1,"0.119068770856074"
"283","ENSG00000142798",1,"0"
"284","ENSG00000219073",NA,NA
"285","ENSG00000142789",NA,NA
"286","ENSG00000218510",1,"0"
"287","ENSG00000070831",1,"0"
"288","ENSG00000162552",1,"0"
"289","ENSG00000184677",1,"0.220228682887847"
"290","ENSG00000070886",NA,NA
"291","ENSG00000173372",NA,NA
"292","ENSG00000159189",NA,NA
"293","ENSG00000173369",NA,NA
"294","ENSG00000133216",1,"0.111404035981572"
"295","ENSG00000265422",NA,NA
"296","ENSG00000264014",NA,NA
"297","ENSG00000215906",NA,NA
"298","ENSG00000227868",NA,NA
"299","ENSG00000004487",1,"0.194860317073708"
"300","ENSG00000263793",NA,NA
"301","ENSG00000169641",1,"0.107514547912843"
"302","ENSG00000179546",NA,NA
"303","ENSG00000125944",1,"0"
"304","ENSG00000125945",1,"0"
"305","ENSG00000204219",1,"0"
"306","ENSG00000088280",1,"0"
"307","ENSG00000007968",1,"0"
"308","ENSG00000117318",1,"0"
"309","ENSG00000197880",1,"0"
"310","ENSG00000142676",1,"0"
"311","ENSG00000011007",1,"0"
"312","ENSG00000057757",1,"0"
"313","ENSG00000011009",1,"0"
"314","ENSG00000117308",1,"0"
"315","ENSG00000117305",1,"0"
"316","ENSG00000179163",1,"0"
"317","ENSG00000188822",1,"0"
"318","ENSG00000264926",NA,NA
"319","ENSG00000189266",1,"0"
"320","ENSG00000188529",1,"0"
"321","ENSG00000142661",NA,NA
"322","ENSG00000142677",NA,NA
"323","ENSG00000185436",1,"0.00301610555280368"
"324","ENSG00000158055",1,"0.231222394043655"
"325","ENSG00000001460",1,"0.22434861511063"
"326","ENSG00000001461",1,"0.225828623653921"
"327","ENSG00000117602",1,"0.234170950219007"
"328","ENSG00000184454",NA,NA
"329","ENSG00000133226",1,"0.235635243294104"
"330","ENSG00000169504",1,"0.201453832258577"
"331","ENSG00000020633",1,"0.180205765408703"
"332","ENSG00000117614",1,"0.249937185081134"
"333","ENSG00000117616",1,"0.247820638761352"
"334","ENSG00000187010",1,"0"
"335","ENSG00000183726",1,"0.276220310476734"
"336","ENSG00000188672",1,"0.274406621308125"
"337","ENSG00000204178",1,"0.291156437256795"
"338","ENSG00000157978",1,"0.284056950720168"
"339","ENSG00000117643",1,"0.23533525474512"
"340","ENSG00000162430",1,"0.272822866865521"
"341","ENSG00000117640",1,"0.283093405015906"
"342","ENSG00000127423",1,"0.286099693115405"
"343","ENSG00000182749",1,"0.29514533964924"
"344","ENSG00000117632",1,"0.300770758761689"
"345","ENSG00000264021",NA,NA
"346","ENSG00000158006",1,"0.322878551363843"
"347","ENSG00000158008",NA,NA
"348","ENSG00000158014",NA,NA
"349","ENSG00000158022",NA,NA
"350","ENSG00000175087",1,"0.288300985414673"
"351","ENSG00000197245",NA,NA
"352","ENSG00000142684",1,"0.269268194714931"
"353","ENSG00000142675",1,"0.262371488117446"
"354","ENSG00000188782",NA,NA
"355","ENSG00000130695",1,"0.241697569312946"
