gene_id,heritability,Chromosome
ENSG00000010610,1e-06,12
ENSG00000010626,0.828771,12
ENSG00000010704,1e-06,6
ENSG00000010803,0.408653,1
ENSG00000010810,0.365831,6
ENSG00000010818,0.999999,6
ENSG00000010932,1e-06,1
ENSG00000011007,0.999999,1
ENSG00000011009,0.999999,1
ENSG00000011021,0.367563,1
ENSG00000011028,0.087655,17
ENSG00000011083,1e-06,5
ENSG00000011105,1e-06,12
ENSG00000011114,0.999999,14
ENSG00000011132,0.955529,19
ENSG00000011143,0.632912,17
ENSG00000011198,0.999999,3
ENSG00000011243,0.999999,19
ENSG00000011258,0.200139,17
ENSG00000011260,1e-06,17
ENSG00000011275,0.999999,7
ENSG00000011295,0.999999,17
ENSG00000011304,0.915593,19
ENSG00000011332,0.639833,19
ENSG00000011376,0.999999,3
ENSG00000011405,0.681141,11
ENSG00000011422,0.63977,19
ENSG00000011426,0.400172,7
ENSG00000011451,0.999999,19
ENSG00000011454,1e-06,9
ENSG00000011478,1e-06,19
ENSG00000011485,0.497104,19
ENSG00000011523,1e-06,2
ENSG00000011566,1e-06,2
ENSG00000011590,0.999999,19
ENSG00000011600,1e-06,19
ENSG00000011638,0.164713,16
ENSG00000012048,1e-06,17
ENSG00000012061,1e-06,19
ENSG00000012124,1e-06,19
ENSG00000012223,0.999999,3
ENSG00000012232,1e-06,8
ENSG00000012504,1e-06,12
ENSG00000012660,0.999999,6
ENSG00000012779,0.623993,10
ENSG00000012822,0.27443,12
ENSG00000012963,1e-06,14
ENSG00000012983,1e-06,14
ENSG00000013016,0.955666,2
ENSG00000013275,0.999999,19
ENSG00000013288,1e-06,4
ENSG00000013297,1e-06,3
ENSG00000013306,0.926074,17
ENSG00000013364,1e-06,16
ENSG00000013374,0.999999,7
ENSG00000013375,1e-06,6
ENSG00000013392,0.388051,6
ENSG00000013441,1e-06,2
ENSG00000013503,0.515015,12
ENSG00000013523,0.669648,14
ENSG00000013561,1e-06,5
ENSG00000013573,0.626798,12
ENSG00000013583,0.999999,12
ENSG00000013588,0.180472,12
ENSG00000013725,1e-06,11
ENSG00000013810,0.999999,4
ENSG00000014123,1e-06,6
ENSG00000014138,0.999999,11
ENSG00000014164,0.324603,8
ENSG00000014216,0.848511,11
ENSG00000014257,0.323546,3
ENSG00000014641,1e-06,2
ENSG00000014824,1e-06,4
ENSG00000014914,0.836461,1
ENSG00000014919,0.007137,10
ENSG00000015133,0.999999,14
ENSG00000015153,0.999999,12
ENSG00000015171,1e-06,10
ENSG00000015475,0.258184,22
ENSG00000015479,1e-06,5
ENSG00000015520,0.999999,7
ENSG00000015532,0.999999,17
ENSG00000015592,0.345308,8
ENSG00000015676,0.509649,7
ENSG00000016391,0.999999,3
ENSG00000016864,1e-06,3
ENSG00000017260,0.999999,3
ENSG00000017427,0.196536,12
ENSG00000017797,0.297738,18
ENSG00000018189,0.999999,4
ENSG00000018280,1e-06,2
ENSG00000018408,0.95744,3
ENSG00000018510,0.073595,2
ENSG00000018699,0.999999,2
ENSG00000018869,0.35996,19
ENSG00000019102,0.317484,11
ENSG00000019169,0.548408,2
ENSG00000019485,0.254913,11
ENSG00000019582,1e-06,5
ENSG00000019991,0.308688,7
ENSG00000019995,0.385586,10
ENSG00000020129,0.619226,1
ENSG00000020256,1e-06,20
ENSG00000020426,0.615079,14
ENSG00000020577,1e-06,14
ENSG00000020633,1e-06,1
ENSG00000020922,1e-06,11
ENSG00000021300,1e-06,11
ENSG00000021355,0.23155,6
ENSG00000021574,1e-06,2
ENSG00000021645,0.999999,14
ENSG00000021776,0.236149,15
ENSG00000021826,0.533322,2
ENSG00000022277,1e-06,20
ENSG00000022556,1e-06,19
ENSG00000022567,1e-06,8
ENSG00000022840,1e-06,12
ENSG00000022976,1e-06,14
ENSG00000023041,1e-06,10
ENSG00000023171,0.562581,11
ENSG00000023191,0.325216,11
ENSG00000023228,0.671831,2
ENSG00000023287,1e-06,8
ENSG00000023318,0.767157,9
ENSG00000023330,0.501752,3
ENSG00000023445,0.999999,11
ENSG00000023516,1e-06,13
ENSG00000023572,1e-06,1
ENSG00000023608,0.210801,14
ENSG00000023697,0.242257,12
ENSG00000023734,1e-06,12
ENSG00000023839,0.999999,10
ENSG00000023892,0.795836,6
ENSG00000023902,1e-06,1
ENSG00000023909,0.999999,1
ENSG00000024048,0.892778,6
ENSG00000024422,0.628615,19
ENSG00000024526,0.553689,1
ENSG00000024862,0.999999,6
ENSG00000025039,0.999999,6
ENSG00000025156,1e-06,6
ENSG00000025293,0.999999,20
ENSG00000025423,0.313636,12
ENSG00000025434,0.641598,11
ENSG00000025708,1e-06,22
ENSG00000025770,0.348633,22
ENSG00000025772,0.24721,20
ENSG00000025796,1e-06,6
ENSG00000025800,0.999999,1
ENSG00000026025,0.999999,10
ENSG00000026103,0.670716,10
ENSG00000026297,0.999999,6
ENSG00000026508,1e-06,11
ENSG00000026559,0.496466,20
ENSG00000026652,1e-06,6
ENSG00000026751,1e-06,1
ENSG00000026950,0.365953,6
ENSG00000027001,0.225919,13
ENSG00000027075,0.999999,14
ENSG00000027697,0.999999,6
ENSG00000027847,0.193283,5
ENSG00000027869,0.999999,1
ENSG00000028116,0.999999,2
ENSG00000028137,1e-06,1
ENSG00000028203,0.147078,12
ENSG00000028277,0.999999,19
ENSG00000028310,0.999999,5
ENSG00000028528,0.999999,15
ENSG00000028839,0.999999,6
ENSG00000029153,0.222855,12
ENSG00000029363,1e-06,6
ENSG00000029364,1e-06,14
ENSG00000029534,0.198084,8
ENSG00000029639,0.033367,6
ENSG00000030066,0.299361,11
ENSG00000030110,0.999999,6
ENSG00000030419,0.999999,2
ENSG00000030582,0.801472,17
ENSG00000031003,0.627412,5
ENSG00000031081,0.157574,3
ENSG00000031691,0.999999,6
ENSG00000031698,0.323693,1
ENSG00000031823,0.999999,19
ENSG00000032219,1e-06,14
ENSG00000032389,0.421893,2
ENSG00000032444,0.999999,19
ENSG00000032742,0.140627,13
ENSG00000033011,0.030673,16
ENSG00000033030,0.642628,12
ENSG00000033050,1e-06,7
ENSG00000033100,0.990468,7
ENSG00000033170,0.999999,14
ENSG00000033178,0.626625,4
ENSG00000033327,1e-06,11
ENSG00000033627,0.039643,17
ENSG00000033800,0.999999,15
ENSG00000033867,0.760186,3
ENSG00000034152,0.613158,17
ENSG00000034510,0.580836,2
ENSG00000034533,0.045591,3
ENSG00000034677,0.999999,8
ENSG00000034693,0.484412,6
ENSG00000034713,0.053051,16
ENSG00000035115,1e-06,2
ENSG00000035141,1e-06,2
ENSG00000035403,0.999999,10
ENSG00000035499,1e-06,5
ENSG00000035664,0.222803,15
ENSG00000035681,0.262213,8
ENSG00000035687,0.771225,1
ENSG00000035720,0.999999,4
ENSG00000035862,0.999999,17
ENSG00000035928,0.629656,4
ENSG00000036054,1e-06,3
ENSG00000036257,1e-06,2
ENSG00000036549,1e-06,1
ENSG00000036672,1e-06,11
ENSG00000036828,0.792103,3
ENSG00000037042,0.999999,17
ENSG00000037241,0.999999,5
ENSG00000037280,1e-06,5
ENSG00000037474,0.236502,5
ENSG00000037637,0.547483,1
ENSG00000037749,1e-06,5
ENSG00000037757,0.999999,19
ENSG00000037897,1e-06,12
ENSG00000038002,1e-06,4
ENSG00000038210,0.212261,4
ENSG00000038219,1e-06,4
ENSG00000038274,1e-06,5
ENSG00000038358,1e-06,16
ENSG00000038382,1e-06,5
ENSG00000038427,0.210969,5
ENSG00000038532,0.064391,16
ENSG00000039068,1e-06,16
ENSG00000039123,0.579373,5
ENSG00000039319,1e-06,5
ENSG00000039523,0.430536,16
ENSG00000039560,0.197748,5
ENSG00000039600,0.0653,5
ENSG00000039650,0.999999,19
ENSG00000039987,1e-06,19
ENSG00000040199,0.22041,16
ENSG00000040275,1e-06,5
ENSG00000040341,0.007793,8
ENSG00000040487,0.999999,1
ENSG00000040531,1e-06,17
ENSG00000040608,0.318702,22
ENSG00000040633,1e-06,17
ENSG00000040933,0.534967,2
ENSG00000041357,0.513398,15
ENSG00000041515,1e-06,13
ENSG00000041802,1e-06,3
ENSG00000041880,0.445017,3
ENSG00000041982,0.399838,9
ENSG00000041988,0.999999,1
ENSG00000042062,0.000153,20
ENSG00000042088,0.864892,14
ENSG00000042286,0.999999,10
ENSG00000042317,0.206091,14
ENSG00000042429,1e-06,11
ENSG00000042445,0.837834,2
ENSG00000042493,0.999999,2
ENSG00000042753,0.094618,19
ENSG00000042781,1e-06,1
ENSG00000042832,0.501301,8
ENSG00000042980,0.65535,8
ENSG00000043039,1e-06,11
ENSG00000043093,1e-06,3
ENSG00000043143,1e-06,5
ENSG00000043462,0.999999,5
ENSG00000043514,0.343229,1
ENSG00000043591,0.784723,10
ENSG00000044090,0.999999,6
ENSG00000044115,1e-06,5
ENSG00000044459,0.591306,9
ENSG00000044574,0.179856,9
ENSG00000046604,0.999999,18
ENSG00000047056,0.587448,10
ENSG00000047188,0.036281,5
ENSG00000047249,1e-06,8
ENSG00000047315,1e-06,4
ENSG00000047346,0.379434,15
ENSG00000047365,0.343885,4
ENSG00000047410,1e-06,1
ENSG00000047457,0.035536,3
ENSG00000047578,1e-06,16
ENSG00000047579,0.999999,6
ENSG00000047621,0.755401,12
ENSG00000047662,1e-06,4
ENSG00000047849,0.000255,3
ENSG00000047932,0.415791,6
ENSG00000048028,0.999999,11
ENSG00000048052,0.999999,7
ENSG00000048140,0.235974,5
ENSG00000048162,1e-06,5
ENSG00000048342,0.999999,4
ENSG00000048392,0.926431,8
ENSG00000048405,1e-06,7
ENSG00000048462,0.999999,16
ENSG00000048471,0.100822,16
ENSG00000048540,0.506142,12
ENSG00000048544,0.999999,6
ENSG00000048649,1e-06,11
ENSG00000048828,0.832204,9
ENSG00000048991,0.999999,2
ENSG00000049089,0.999999,1
ENSG00000049130,0.999999,12
ENSG00000049167,1e-06,5
ENSG00000049192,0.873162,5
ENSG00000049239,0.999999,1
ENSG00000049245,0.558604,1
ENSG00000049246,0.888721,1
ENSG00000049247,0.593413,1
ENSG00000049249,0.225633,1
ENSG00000049323,0.999999,2
ENSG00000049449,0.691984,11
ENSG00000049541,0.999999,7
ENSG00000049618,0.999999,6
ENSG00000049656,1e-06,5
ENSG00000049759,1e-06,18
ENSG00000049860,0.561195,5
ENSG00000049883,0.999999,5
ENSG00000050130,0.213518,14
ENSG00000050165,0.301478,11
ENSG00000050327,0.999999,7
ENSG00000050344,0.999999,7
ENSG00000050393,1e-06,6
ENSG00000050405,0.105651,12
ENSG00000050426,0.028917,12
ENSG00000050438,0.999999,12
ENSG00000050730,0.999999,4
ENSG00000050748,0.617076,5
ENSG00000050767,1e-06,5
ENSG00000050820,0.131278,16
ENSG00000051009,0.38213,11
ENSG00000051108,0.999999,16
ENSG00000051128,1e-06,19
ENSG00000051180,1e-06,15
ENSG00000051341,1e-06,3
ENSG00000051382,0.024912,3
ENSG00000051523,0.204399,16
ENSG00000051596,0.200984,5
ENSG00000051620,0.999999,6
ENSG00000051825,1e-06,12
ENSG00000052126,0.435787,12
ENSG00000052723,0.997598,1
ENSG00000052749,0.999999,10
ENSG00000052795,0.949889,4
ENSG00000052802,0.674449,4
ENSG00000052841,1e-06,11
ENSG00000053108,1e-06,5
ENSG00000053254,1e-06,14
ENSG00000053371,1e-06,1
ENSG00000053372,1e-06,1
ENSG00000053438,0.057995,20
ENSG00000053501,0.865049,19
ENSG00000053524,0.340383,3
ENSG00000053702,1e-06,12
ENSG00000053747,1e-06,18
ENSG00000053770,1e-06,14
ENSG00000053900,1e-06,4
ENSG00000053918,1e-06,11
ENSG00000054116,0.286397,1
ENSG00000054118,1e-06,1
ENSG00000054148,1e-06,9
ENSG00000054179,1e-06,9
ENSG00000054219,0.999999,2
ENSG00000054267,0.683165,1
ENSG00000054277,0.999999,1
ENSG00000054282,0.183032,1
ENSG00000054356,1e-06,2
ENSG00000054392,0.806165,1
ENSG00000054523,0.999999,1
ENSG00000054598,0.57454,6
ENSG00000054611,1e-06,22
ENSG00000054654,0.999999,14
ENSG00000054690,0.727016,14
ENSG00000054793,0.040728,20
ENSG00000054965,0.999999,11
ENSG00000054967,0.999999,11
ENSG00000054983,0.57305,14
ENSG00000055044,0.752459,2
ENSG00000055070,1e-06,1
ENSG00000055118,1e-06,7
ENSG00000055130,0.295409,7
ENSG00000055147,0.957043,5
ENSG00000055208,0.999999,6
ENSG00000055211,0.896698,6
ENSG00000055332,0.335381,2
ENSG00000055483,0.607777,17
ENSG00000055609,1e-06,7
ENSG00000055732,0.167492,1
ENSG00000055813,0.999999,2
ENSG00000055917,0.003514,2
ENSG00000055950,0.235412,10
ENSG00000055955,1e-06,3
ENSG00000055957,0.255809,3
ENSG00000056050,0.999999,4
ENSG00000056097,1e-06,5
ENSG00000056487,1e-06,22
ENSG00000056558,1e-06,9
ENSG00000056586,0.34747,9
ENSG00000056736,0.987106,3
ENSG00000056972,0.484861,6
ENSG00000057019,0.999999,3
ENSG00000057252,1e-06,1
ENSG00000057294,1e-06,12
ENSG00000057468,1e-06,1
ENSG00000057608,0.249852,10
ENSG00000057657,0.999999,6
ENSG00000057663,0.999999,6
ENSG00000057704,0.999999,12
ENSG00000057757,1e-06,1
ENSG00000057935,1e-06,2
ENSG00000058056,1e-06,3
ENSG00000058063,0.156073,3
ENSG00000058085,0.131573,1
ENSG00000058091,1e-06,7
ENSG00000058262,0.999999,3
ENSG00000058272,1e-06,12
ENSG00000058335,0.783451,15
ENSG00000058404,0.335197,7
ENSG00000058453,1e-06,1
ENSG00000058600,1e-06,16
ENSG00000058668,0.999999,1
ENSG00000058673,1e-06,1
ENSG00000058729,0.002237,5
ENSG00000058799,0.06041,1
ENSG00000058804,0.37677,1
ENSG00000058866,0.999999,3
ENSG00000059122,1e-06,16
ENSG00000059145,0.999999,16
ENSG00000059377,0.999999,7
ENSG00000059378,1e-06,7
ENSG00000059573,1e-06,10
ENSG00000059588,1e-06,1
ENSG00000059728,1e-06,2
ENSG00000059758,0.921211,12
ENSG00000059769,0.181599,9
ENSG00000059915,1e-06,10
ENSG00000060069,0.446145,18
ENSG00000060138,0.999999,12
ENSG00000060140,1e-06,12
ENSG00000060237,0.115157,12
ENSG00000060339,0.369593,10
ENSG00000060491,0.999999,20
ENSG00000060558,0.589874,19
ENSG00000060566,0.722547,19
ENSG00000060642,0.311415,1
ENSG00000060656,0.999999,1
ENSG00000060688,0.130516,1
ENSG00000060709,0.361029,12
ENSG00000060749,1e-06,11
ENSG00000060762,0.42166,6
ENSG00000060971,0.999999,3
ENSG00000060982,0.999999,12
ENSG00000061273,0.3231,12
ENSG00000061337,1e-06,8
ENSG00000061656,1e-06,20
ENSG00000061676,1e-06,2
ENSG00000061794,0.515429,12
ENSG00000061918,0.999999,4
ENSG00000061936,0.999999,12
ENSG00000061938,0.456364,3
ENSG00000061987,0.156475,12
ENSG00000062038,0.999999,16
ENSG00000062194,1e-06,5
ENSG00000062282,0.999999,11
ENSG00000062370,0.999999,19
ENSG00000062485,0.999999,12
ENSG00000062524,1e-06,15
ENSG00000062598,1e-06,20
ENSG00000062716,0.966099,17
ENSG00000062725,1e-06,17
ENSG00000062822,0.731581,19
ENSG00000063015,0.424662,17
ENSG00000063046,0.929986,12
ENSG00000063127,0.499736,19
ENSG00000063169,0.36088,19
ENSG00000063176,0.43711,19
ENSG00000063177,0.915469,19
ENSG00000063180,1e-06,19
ENSG00000063241,0.999999,19
ENSG00000063244,0.999999,19
ENSG00000063245,0.353421,19
ENSG00000063322,0.353587,19
ENSG00000063438,1e-06,5
ENSG00000063660,1e-06,2
ENSG00000063761,0.999999,14
ENSG00000063854,0.999999,16
ENSG00000063978,0.225926,4
ENSG00000064012,0.137216,2
ENSG00000064102,1e-06,12
ENSG00000064115,0.841616,12
ENSG00000064199,1e-06,11
ENSG00000064201,1e-06,11
ENSG00000064225,0.965823,3
ENSG00000064270,1e-06,16
ENSG00000064300,0.999999,17
ENSG00000064309,0.114827,11
ENSG00000064313,1e-06,8
ENSG00000064393,0.999999,7
ENSG00000064419,0.250535,7
ENSG00000064490,1e-06,19
ENSG00000064545,0.180907,19
ENSG00000064547,0.999999,19
ENSG00000064601,0.468623,20
ENSG00000064607,0.983393,19
ENSG00000064651,0.637098,5
ENSG00000064652,0.999999,5
ENSG00000064655,0.056661,20
ENSG00000064666,0.087963,19
ENSG00000064687,1e-06,19
ENSG00000064692,1e-06,5
ENSG00000064703,1e-06,1
ENSG00000064726,1e-06,15
ENSG00000064763,0.507048,12
ENSG00000064787,0.999999,20
ENSG00000064886,1e-06,1
ENSG00000064932,0.999999,19
ENSG00000064933,0.516352,2
ENSG00000064961,0.999999,19
ENSG00000064989,0.999999,2
ENSG00000064995,0.165636,6
ENSG00000064999,0.966667,6
ENSG00000065000,1e-06,19
ENSG00000065029,0.178474,6
ENSG00000065054,0.15517,16
ENSG00000065057,0.963616,16
ENSG00000065060,0.785223,6
ENSG00000065135,1e-06,1
ENSG00000065150,1e-06,13
ENSG00000065154,0.999999,10
ENSG00000065183,0.268091,1
ENSG00000065243,1e-06,1
ENSG00000065268,0.398274,19
ENSG00000065308,0.731763,6
ENSG00000065320,0.306163,17
ENSG00000065328,0.999999,10
ENSG00000065357,1e-06,12
ENSG00000065361,1e-06,12
ENSG00000065413,0.22763,2
ENSG00000065427,0.795247,16
ENSG00000065457,0.108448,16
ENSG00000065485,1e-06,3
ENSG00000065491,0.955187,6
ENSG00000065518,0.999999,3
ENSG00000065526,1e-06,1
ENSG00000065534,1e-06,3
ENSG00000065548,1e-06,2
ENSG00000065559,0.317827,17
