"","GeneID","Chromosome","CausalVariance"
"149","ENSG00000198793",1,"0.253757806514012"
"150","ENSG00000225602",1,"NA"
"151","ENSG00000171819",1,"NA"
"152","ENSG00000120942",1,"0.265040637021074"
"153","ENSG00000204624",1,"0.240501107425338"
"154","ENSG00000116661",1,"0"
"155","ENSG00000132879",1,"0"
"156","ENSG00000116663",1,"0.703080874460692"
"157","ENSG00000116670",1,"0"
"158","ENSG00000162490",1,"0"
"159","ENSG00000177674",1,"0.537369632358913"
"160","ENSG00000215910",1,"0.206214157863004"
"161","ENSG00000177000",1,"0.139655663921015"
"162","ENSG00000011021",1,"0.0338970694011988"
"163","ENSG00000242349",1,"0.281066438966203"
"164","ENSG00000175206",1,"0.365965182274177"
"165","ENSG00000120937",1,"NA"
"166","ENSG00000199347",1,"NA"
"167","ENSG00000116685",1,"0"
"168","ENSG00000083444",1,"0"
"169","ENSG00000116688",1,"0"
"170","ENSG00000116691",1,"0.00933142628126163"
"171","ENSG00000120949",1,"0"
"172","ENSG00000028137",1,"0.062775847289404"
"173","ENSG00000263676",1,"NA"
"174","ENSG00000162496",1,"0"
"175","ENSG00000204518",1,"NA"
"176","ENSG00000188984",1,"NA"
"177","ENSG00000116726",1,"NA"
"178","ENSG00000179172",1,"0"
"179","ENSG00000120952",1,"NA"
"180","ENSG00000243073",1,"NA"
"181","ENSG00000162494",1,"NA"
"182","ENSG00000162493",1,"NA"
"183","ENSG00000116731",1,"0.205224775351865"
"184","ENSG00000189337",1,"0"
"185","ENSG00000175147",1,"0"
"186","ENSG00000171729",1,"0.183890160892079"
"187","ENSG00000204464",1,"NA"
"188","ENSG00000142621",1,"0.0303849469500667"
"189","ENSG00000142634",1,"0"
"190","ENSG00000162438",1,"NA"
"191","ENSG00000142615",1,"NA"
"192","ENSG00000215704",1,"NA"
"193","ENSG00000132906",1,"0.13551503114631"
"194","ENSG00000116138",1,"0.0746146256972063"
"195","ENSG00000116771",1,"0.317586973620013"
"196","ENSG00000197312",1,"0"
"197","ENSG00000116786",1,"0.25348182474767"
"198","ENSG00000162461",1,"0.186185222877977"
"199","ENSG00000162460",1,"NA"
"200","ENSG00000162458",1,"NA"
"201","ENSG00000233954",1,"0"
"202","ENSG00000179743",1,"0.0369031381604334"
"203","ENSG00000065526",1,"0.263848900624575"
"204","ENSG00000116809",1,"0.0364791604974036"
"205","ENSG00000183888",1,"0.24590229815625"
"206","ENSG00000173641",1,"0.19817589957738"
